nctid,restart_date,restart_status
NCT02439307,NA,NA
NCT02565901,NA,NA
NCT02732015,NA,NA
NCT03259659,NA,NA
NCT03445663,NA,NA
NCT03621124,NA,NA
NCT03669549,NA,NA
NCT04176978,NA,NA
NCT04476693,2023-02-28,COMPLETED
NCT03342638,NA,NA
NCT03473665,NA,NA
NCT03593902,NA,NA
NCT03809650,NA,NA
NCT04192513,NA,NA
NCT04315051,NA,NA
NCT03632954,NA,NA
NCT04231188,NA,NA
NCT02651116,NA,NA
NCT03545165,NA,NA
NCT03586934,NA,NA
NCT03234387,NA,NA
NCT03237767,NA,NA
NCT03588936,NA,NA
NCT02662634,NA,NA
NCT03513458,NA,NA
NCT03513471,NA,NA
NCT04248361,NA,NA
NCT01652157,NA,NA
NCT02075047,NA,NA
NCT02717650,2023-07-25,RECRUITING
NCT02864355,NA,NA
NCT03067480,NA,NA
NCT03331666,NA,NA
NCT03390413,NA,NA
NCT03586778,NA,NA
NCT03930225,NA,NA
NCT03993379,NA,NA
NCT02531295,2023-04-10,ACTIVE_NOT_RECRUITING
NCT02730884,NA,NA
NCT03198156,NA,NA
NCT03879044,NA,NA
NCT02749526,NA,NA
NCT04136847,NA,NA
NCT02608307,NA,NA
NCT04140539,NA,NA
NCT04159935,NA,NA
NCT04209530,NA,NA
NCT00293215,NA,NA
NCT01715571,NA,NA
NCT03881007,NA,NA
NCT04013373,NA,NA
NCT04038424,NA,NA
NCT04248959,NA,NA
NCT01498445,NA,NA
NCT02514252,NA,NA
NCT02648971,NA,NA
NCT02693717,NA,NA
NCT02740114,NA,NA
NCT02765165,NA,NA
NCT03847389,NA,NA
NCT04021797,NA,NA
NCT02679560,NA,NA
NCT02762318,NA,NA
NCT04335552,NA,NA
NCT04493528,NA,NA
NCT02151019,NA,NA
NCT02436135,NA,NA
NCT02834481,NA,NA
NCT03762681,NA,NA
NCT03784963,NA,NA
NCT04264052,2023-02-15,RECRUITING
NCT03313076,NA,NA
NCT04501211,NA,NA
NCT01961804,NA,NA
NCT02756013,NA,NA
NCT02758899,NA,NA
NCT02952586,NA,NA
NCT03395353,NA,NA
NCT03642457,NA,NA
NCT00575328,NA,NA
NCT02921737,NA,NA
NCT03053518,NA,NA
NCT03328598,NA,NA
NCT03657095,NA,NA
NCT03797144,NA,NA
NCT04005079,NA,NA
NCT04176406,NA,NA
NCT04232306,2023-04-20,NOT_YET_RECRUITING
NCT03259568,NA,NA
NCT03989752,NA,NA
