nctid,restart_date,restart_status
NCT01156220,NA,NA
NCT01444209,NA,NA
NCT01582087,NA,NA
NCT02120482,NA,NA
NCT04576013,NA,NA
NCT04770181,NA,NA
NCT02661620,NA,NA
NCT03168438,NA,NA
NCT04013399,NA,NA
NCT03382249,NA,NA
NCT03830749,NA,NA
NCT04358068,NA,NA
NCT04239014,NA,NA
NCT04616586,NA,NA
NCT04774640,NA,NA
NCT02734576,NA,NA
NCT02838745,NA,NA
NCT03081117,NA,NA
NCT02874105,NA,NA
NCT00568373,NA,NA
NCT02207647,NA,NA
NCT03894007,NA,NA
NCT04467281,NA,NA
NCT03542110,NA,NA
NCT03637491,NA,NA
NCT04569786,NA,NA
NCT02550548,2023-11-16,COMPLETED
NCT02943291,2023-03-14,COMPLETED
NCT03404726,NA,NA
NCT03433950,NA,NA
NCT04202770,NA,NA
NCT04202783,NA,NA
NCT04205539,NA,NA
NCT04209023,NA,NA
NCT04394884,NA,NA
NCT01952847,NA,NA
NCT03222973,NA,NA
NCT03269695,NA,NA
NCT04122898,NA,NA
NCT04584437,NA,NA
NCT04787731,NA,NA
NCT03382574,NA,NA
NCT03818399,NA,NA
