nctid,stop_date,stop_status,restart_date,restart_status,why_stopped
NCT02404194,NA,NA,NA,NA,NA
NCT02329834,NA,NA,NA,NA,NA
NCT02010424,NA,NA,NA,NA,NA
NCT01973634,NA,NA,NA,NA,NA
NCT01504893,NA,NA,NA,NA,NA
NCT01255891,NA,NA,NA,NA,NA
NCT00510848,NA,NA,NA,NA,NA
NCT05637866,NA,NA,NA,NA,NA
NCT05637853,NA,NA,NA,NA,NA
NCT05637840,NA,NA,NA,NA,NA
NCT05637827,NA,NA,NA,NA,NA
NCT05637814,NA,NA,NA,NA,NA
NCT05637801,NA,NA,NA,NA,NA
NCT05637788,NA,NA,NA,NA,NA
NCT05637775,NA,NA,NA,NA,NA
NCT05637762,NA,NA,NA,NA,NA
NCT05637749,NA,NA,NA,NA,NA
NCT05637736,NA,NA,NA,NA,NA
NCT05637723,NA,NA,NA,NA,NA
NCT05637710,NA,NA,NA,NA,NA
NCT05637697,NA,NA,NA,NA,NA
NCT05637684,NA,NA,NA,NA,NA
NCT05637671,NA,NA,NA,NA,NA
NCT05637658,NA,NA,NA,NA,NA
NCT05637645,NA,NA,NA,NA,NA
NCT05637632,NA,NA,NA,NA,NA
NCT05637619,NA,NA,NA,NA,NA
NCT05637606,NA,NA,NA,NA,NA
NCT05637593,NA,NA,NA,NA,NA
NCT05637580,NA,NA,NA,NA,NA
NCT05637567,NA,NA,NA,NA,NA
NCT05637554,NA,NA,NA,NA,NA
NCT05637541,NA,NA,NA,NA,NA
NCT05637528,NA,NA,NA,NA,NA
NCT05637515,NA,NA,NA,NA,NA
NCT05637502,NA,NA,NA,NA,NA
NCT05637489,NA,NA,NA,NA,NA
NCT05637476,NA,NA,NA,NA,NA
NCT05637463,NA,NA,NA,NA,NA
NCT05637450,NA,NA,NA,NA,NA
NCT05637437,NA,NA,NA,NA,NA
NCT05637424,NA,NA,NA,NA,NA
NCT05637411,NA,NA,NA,NA,NA
NCT05637398,NA,NA,NA,NA,NA
NCT05637385,NA,NA,NA,NA,NA
NCT05637372,NA,NA,NA,NA,NA
NCT05637359,NA,NA,NA,NA,NA
NCT05637346,NA,NA,NA,NA,NA
NCT05637333,NA,NA,NA,NA,NA
NCT05637320,NA,NA,NA,NA,NA
NCT05637307,NA,NA,NA,NA,NA
NCT05637294,NA,NA,NA,NA,NA
NCT05637281,NA,NA,NA,NA,NA
NCT05637268,NA,NA,NA,NA,NA
NCT05637255,NA,NA,NA,NA,NA
NCT05637242,NA,NA,NA,NA,NA
NCT05637229,NA,NA,NA,NA,NA
NCT05637216,NA,NA,NA,NA,NA
NCT05637203,NA,NA,NA,NA,NA
NCT05637190,NA,NA,NA,NA,NA
NCT05637177,NA,NA,NA,NA,NA
NCT05637164,NA,NA,NA,NA,NA
NCT05637151,NA,NA,NA,NA,NA
NCT05637138,NA,NA,NA,NA,NA
NCT05637125,NA,NA,NA,NA,NA
NCT05637112,NA,NA,NA,NA,NA
NCT05637099,NA,NA,NA,NA,NA
NCT05637086,NA,NA,NA,NA,NA
NCT05637073,NA,NA,NA,NA,NA
NCT05637060,NA,NA,NA,NA,NA
NCT05637047,NA,NA,NA,NA,NA
NCT05637034,NA,NA,NA,NA,NA
NCT05637021,NA,NA,NA,NA,NA
NCT05637008,NA,NA,NA,NA,NA
NCT05636995,NA,NA,NA,NA,NA
NCT05636982,NA,NA,NA,NA,NA
NCT05636969,NA,NA,NA,NA,NA
NCT05636956,NA,NA,NA,NA,NA
NCT05636943,NA,NA,NA,NA,NA
NCT05636930,NA,NA,NA,NA,NA
NCT05636917,NA,NA,NA,NA,NA
NCT05636904,NA,NA,NA,NA,NA
NCT05636891,NA,NA,NA,NA,NA
NCT05636878,NA,NA,NA,NA,NA
NCT05636865,NA,NA,NA,NA,NA
NCT05636852,NA,NA,NA,NA,NA
NCT05636839,NA,NA,NA,NA,NA
NCT05636826,NA,NA,NA,NA,NA
NCT05636813,NA,NA,NA,NA,NA
NCT05636800,NA,NA,NA,NA,NA
NCT05636787,NA,NA,NA,NA,NA
NCT05636774,NA,NA,NA,NA,NA
NCT05636761,NA,NA,NA,NA,NA
NCT05636748,NA,NA,NA,NA,NA
NCT05636735,NA,NA,NA,NA,NA
NCT05636722,NA,NA,NA,NA,NA
NCT05636709,NA,NA,NA,NA,NA
NCT05636696,NA,NA,NA,NA,NA
NCT05636683,NA,NA,NA,NA,NA
NCT05636670,NA,NA,NA,NA,NA
NCT05636657,NA,NA,NA,NA,NA
NCT05636644,NA,NA,NA,NA,NA
NCT05636631,NA,NA,NA,NA,NA
NCT05636618,NA,NA,NA,NA,NA
NCT05636605,NA,NA,NA,NA,NA
NCT05636592,NA,NA,NA,NA,NA
NCT05636579,NA,NA,NA,NA,NA
NCT05636566,NA,NA,NA,NA,NA
NCT05636553,NA,NA,NA,NA,NA
NCT05636540,NA,NA,NA,NA,NA
NCT05636527,NA,NA,NA,NA,NA
NCT05636514,NA,NA,NA,NA,NA
NCT05636501,NA,NA,NA,NA,NA
NCT05636488,NA,NA,NA,NA,NA
NCT05636475,NA,NA,NA,NA,NA
NCT05636462,NA,NA,NA,NA,NA
NCT05636449,NA,NA,NA,NA,NA
NCT05636436,NA,NA,NA,NA,NA
NCT05636423,NA,NA,NA,NA,NA
NCT05636410,NA,NA,NA,NA,NA
NCT05636397,NA,NA,NA,NA,NA
NCT05636384,NA,NA,NA,NA,NA
NCT05636371,NA,NA,NA,NA,NA
NCT05636358,NA,NA,NA,NA,NA
NCT05636345,NA,NA,NA,NA,NA
NCT05636332,NA,NA,NA,NA,NA
NCT05636319,NA,NA,NA,NA,NA
NCT05636306,NA,NA,NA,NA,NA
NCT05636293,NA,NA,NA,NA,NA
NCT05636280,NA,NA,NA,NA,NA
NCT05636267,NA,NA,NA,NA,NA
NCT05636254,NA,NA,NA,NA,NA
NCT05636241,NA,NA,NA,NA,NA
NCT05636228,NA,NA,NA,NA,NA
NCT05636215,NA,NA,NA,NA,NA
NCT05636202,NA,NA,NA,NA,NA
NCT05636189,NA,NA,NA,NA,NA
NCT05636176,NA,NA,NA,NA,NA
NCT05636163,NA,NA,NA,NA,NA
NCT05636150,NA,NA,NA,NA,NA
NCT05636137,NA,NA,NA,NA,NA
NCT05636124,NA,NA,NA,NA,NA
NCT05636111,NA,NA,NA,NA,NA
NCT05636098,NA,NA,NA,NA,NA
NCT05636085,NA,NA,NA,NA,NA
NCT05636072,NA,NA,NA,NA,NA
NCT05636059,NA,NA,NA,NA,NA
NCT05636046,NA,NA,NA,NA,NA
NCT05636033,NA,NA,NA,NA,NA
NCT05636020,NA,NA,NA,NA,NA
NCT05635604,NA,NA,NA,NA,NA
NCT05635188,NA,NA,NA,NA,NA
NCT05635136,NA,NA,NA,NA,NA
NCT05635058,NA,NA,NA,NA,NA
NCT05634785,NA,NA,NA,NA,NA
NCT05634564,NA,NA,NA,NA,NA
NCT05634551,NA,NA,NA,NA,NA
NCT05634252,NA,NA,NA,NA,NA
NCT03737825,NA,NA,NA,NA,NA
NCT03404986,NA,NA,NA,NA,NA
NCT03285880,2022-11-30,Terminated,NA,NA,The pandemic halted the study protocol temporarily. We continued to collect what we could but the study ran out of time/funds.
NCT02985866,NA,NA,NA,NA,NA
NCT02942108,NA,NA,NA,NA,NA
NCT02752815,NA,NA,NA,NA,NA
NCT02647892,2022-12-02,Withdrawn,NA,NA,NA
NCT02505893,NA,NA,NA,NA,NA
NCT02377830,NA,NA,NA,NA,NA
NCT01776229,NA,NA,NA,NA,NA
NCT00330200,NA,NA,NA,NA,NA
NCT00327626,NA,NA,NA,NA,NA
NCT00017407,NA,NA,NA,NA,NA
NCT00063830,NA,NA,NA,NA,NA
NCT00063414,NA,NA,NA,NA,NA
NCT00062816,NA,NA,NA,NA,NA
NCT00048321,NA,NA,NA,NA,NA
NCT00048113,NA,NA,NA,NA,NA
NCT00035945,NA,NA,NA,NA,NA
